source,row_id,paper_id_dd,doi,overlap_flag,emission_nm,T_growth_C,time_min,FWHM_nm,QY_percent,PL_peak_nm_core,route,system_tag,shell_present_flag,data_quality_tier,measurement_state,caution_count,abs_nm,diameter_nm,in_source,in_amount_mmol,p_source,p_amount_mmol,ligand_source,ligand_amount_mmol,first_sol,second_sol,acid,acid_amount_mmol,total_volume_ml
cossairt,cos_raw_row_129,,10.1021/acs.chemmater.7b00254,1,482,180,30,,,,,,,,,,430,None,indium iodide,0.3,white phosphorus,0.299,oleylamine,4.06,None,None,None,0,1.336
cossairt,cos_raw_row_130,,10.1021/acs.chemmater.7b00254,1,529,150,30,,,,,,,,,,492,None,indium chloride,0.3,white phosphorus,0.45,oleylamine,4.06,None,None,None,0,1.336
cossairt,cos_raw_row_131,,10.1021/acs.chemmater.7b00254,1,555,180,30,,,,,,,,,,522,None,indium chloride,0.3,white phosphorus,0.45,oleylamine,4.06,None,None,None,0,1.336
cossairt,cos_raw_row_132,,10.1021/acs.chemmater.7b00254,1,595,180,30,,,,,,,,,,560,None,indium chloride,0.3,white phosphorus,0.45,oleylamine,0.8,None,None,None,0,0.264
cossairt,cos_raw_row_133,,10.1021/acs.chemmater.7b00254,1,635,210,30,,,,,,,,,,590,None,indium chloride,0.3,white phosphorus,0.45,oleylamine,0.8,None,None,None,0,0.264
cossairt,cos_raw_row_134,,10.1021/acs.inorgchem.0c03117,0,None,305,10,,,,,,,,,,480,None,indium paltimate,0.15,tris(trimethylsilyl)phosphine,0.12,None,0,octadecene,trioctylphosphine,None,0,18
cossairt,cos_raw_row_135,,10.1007/s10854-020-05206-5,0,518,170,10,,,,,,,,,,478,7,indium chloride,0.45,tris(dimethylamino)phosphine,1.926,oleylamine,7.4,None,None,None,0,2.435
cossairt,cos_raw_row_136,,10.1021/acsnano.0c08683,0,542,230,15,,,,,,,,,,498,None,indium acetate,1.2,tris(trimethylsilyl)phosphine,0.607,None,0,octadecene,None,stearic acid,3.6,12
cossairt,cos_raw_row_137,,10.1021/acsnano.0c08683,0,548,230,5,,,,,,,,,,502,None,indium acetate,1.2,tris(trimethylsilyl)phosphine,0.607,None,0,octadecene,None,palmitic acid,3.6,12
cossairt,cos_raw_row_138,,10.1016/j.apsusc.2019.01.067,0,550,300,20,,,,,,,,,,500,None,indium myristate,0.1,tris(trimethylsilyl)phosphine,0.1,None,0,octadecene,None,None,0,8.5
cossairt,cos_raw_row_139,,10.1021/acsnano.0c08683,0,554,230,5,,,,,,,,,,512,None,indium acetate,1.2,tris(trimethylsilyl)phosphine,0.607,None,0,octadecene,None,myristic acid,3.6,12
cossairt,cos_raw_row_140,,10.1021/acsnano.0c08683,0,558,230,15,,,,,,,,,,512,None,indium acetate,1.2,tris(trimethylsilyl)phosphine,0.607,None,0,octadecene,None,oleic acid,3.6,12
cossairt,cos_raw_row_141,,10.1007/s10854-020-05206-5,0,628,170,10,,,,,,,,,,576,None,indium chloride,0.45,tris(dimethylamino)phosphine,1.926,oleylamine,7.4,None,None,None,0,2.435
cossairt,cos_raw_row_142,,10.1016/j.apsusc.2019.01.067,0,None,180,5,,,,,,,,,,515,None,indium chloride,0.9,tris(diethylamino)phosphine,3.2,oleylamine,17.2,None,None,None,0,5.66
cossairt,cos_raw_row_143,,10.1016/j.apsusc.2019.01.067,0,None,220,5,,,,,,,,,,552,None,indium chloride,0.9,tris(diethylamino)phosphine,3.2,oleylamine,17.2,None,None,None,0,5.66
cossairt,cos_raw_row_144,,10.1016/j.apsusc.2019.01.067,0,None,160,10,,,,,,,,,,455,None,indium chloride,0.9,tris(diethylamino)phosphine,3.2,oleylamine,17.2,None,None,None,0,5.66
cossairt,cos_raw_row_145,,10.1016/j.apsusc.2019.01.067,0,None,180,10,,,,,,,,,,523,None,indium chloride,0.9,tris(diethylamino)phosphine,3.2,oleylamine,17.2,None,None,None,0,5.66
cossairt,cos_raw_row_146,,10.1016/j.apsusc.2019.01.067,0,None,220,10,,,,,,,,,,569,None,indium chloride,0.9,tris(diethylamino)phosphine,3.2,oleylamine,17.2,None,None,None,0,5.66
cossairt,cos_raw_row_147,,10.1016/j.apsusc.2019.01.067,0,None,160,20,,,,,,,,,,468,None,indium chloride,0.9,tris(diethylamino)phosphine,3.2,oleylamine,17.2,None,None,None,0,5.66
cossairt,cos_raw_row_148,,10.1016/j.apsusc.2019.01.067,0,None,180,20,,,,,,,,,,544,None,indium chloride,0.9,tris(diethylamino)phosphine,3.2,oleylamine,17.2,None,None,None,0,5.66
