T_growth_C,time_min,shell_innermost,shell_layer_count,shell_composition_tier,outer_is_ZnS,route,pred_PL_peak_nm,pred_PL_peak_nm_std,maha_distance,extrap_flag,method,candidate_id
360.0000,120.0000,ZnSe,3,triple_plus_shell,1,hot_injection,622.4562,33.3170,3.1961,extrapolation,M3,M3-044
360.0000,120.0000,ZnS,1,single_shell,1,hot_injection,590.2515,45.0987,3.1961,extrapolation,M3,M3-045
360.0000,120.0000,ZnS,2,double_shell,1,hot_injection,544.9488,64.5327,3.1961,extrapolation,M3,M3-046
360.0000,120.0000,ZnS,3,triple_plus_shell,1,hot_injection,566.4053,58.9972,3.1961,extrapolation,M3,M3-047
360.0000,480.0000,ZnSe,1,single_shell,1,hot_injection,621.9122,46.4300,3.8528,extrapolation,M3,M3-048
360.0000,480.0000,ZnSe,2,double_shell,1,hot_injection,618.8236,42.1112,3.8528,extrapolation,M3,M3-049
360.0000,480.0000,ZnSe,3,triple_plus_shell,1,hot_injection,621.2825,33.7274,3.8528,extrapolation,M3,M3-050
360.0000,480.0000,ZnS,1,single_shell,1,hot_injection,589.9942,44.2904,3.8528,extrapolation,M3,M3-051
360.0000,480.0000,ZnS,2,double_shell,1,hot_injection,544.9188,64.3250,3.8528,extrapolation,M3,M3-052
360.0000,480.0000,ZnS,3,triple_plus_shell,1,hot_injection,566.3753,58.7809,3.8528,extrapolation,M3,M3-053
