doi,in_source,in_amount_mmol,p_source,p_amount_mmol,sol,sol_amount_ml,TOP,TOP_amount_mmol,acid,acid_amount_mmol,amine,amine_amount_mmol,thiol,thiol_amount_mmol,zinc,zinc_amount_mmol,other,other_amount_mmol,total_volume_ml,temp_c,time_min,diameter_nm,abs_nm,emission_nm,date_input,user
10.1002/jsid.308,indium acetate,1,tris(trimethylsilyl)phosphine,1,octadecene,1,None,0,None,0,None,0,dodecanethiol,0.5,zinc octanoate,2,None,0,1.12,230,30,None,None,560,7/27/2021,Hao
10.1002/smll.201905162,indium acetate,3,tris(trimethylsilyl)phosphine,1.5,octadecene,45,trioctylphosphine,6.726285025,oleic acid,9,None,0,None,0,None,0,None,0,48,260,60,2.4,None,None,7/20/2021,Hao
10.1016/j.jallcom.2013.08.003,indium acetate,0.1,phosphine gas,3,octadecene,2,None,0,myristic acid,0.3,None,0,None,0,None,0,None,0,2,200,15,2.5,601,None,6/26/2021,Hao
10.1016/j.jallcom.2013.08.003,indium acetate,0.1,phosphine gas,3,octadecene,2,None,0,myristic acid,0.3,None,0,None,0,None,0,None,0,2,260,15,4.3,620,None,6/26/2021,Hao
10.1016/j.jiec.2019.10.021,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,6.75,None,0,oleic acid,0.91,None,0,None,0,zinc oleate,0.1,None,0,6.75,300,10,None,455,507,7/23/2021,Hao
10.1016/j.jiec.2019.10.021,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,6.75,None,0,oleic acid,0.268,None,0,None,0,zinc oleate,0.1,None,0,6.75,300,10,None,460,518,7/23/2021,Hao
10.1016/j.jiec.2019.10.021,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,6.75,None,0,oleic acid,0.288,None,0,None,0,zinc oleate,0.1,None,0,6.75,300,10,None,457,522,7/23/2021,Hao
10.1016/j.jiec.2019.10.021,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,6.75,None,0,oleic acid,0.308,None,0,None,0,zinc oleate,0.1,None,0,6.75,300,10,None,456,525,7/23/2021,Hao
10.1016/j.jiec.2019.10.021,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,6.75,None,0,oleic acid,0.248,None,0,None,0,zinc oleate,0.1,None,0,6.75,300,10,None,470,530,7/23/2021,Hao
10.1021/acs.chemmater.7b01648,indium acetate,0.2,tris(trimethylsilyl)phosphine,0.1,octadecene,10,None,0,myristic acid,0.6,None,0,None,0,None,0,None,0,10,300,20,4,525,558,7/6/2021,melanie
10.1021/acs.chemmater.7b02204,indium acetate,0.15,tris(trimethylsilyl)phosphine,0.1,octadecene,10,trioctylphosphine,2.242095008,palmitic acid,0.45,None,0,None,0,None,0,None,0,11,305,2,1.8,472,None,6/26/2021,Hao
10.1021/acs.chemmater.7b02204,indium acetate,0.15,tris(trimethylsilyl)phosphine,0.1,octadecene,10,trioctylphosphine,2.242095008,palmitic acid,0.45,None,0,None,0,None,0,None,0,11,305,15,None,486,None,6/26/2021,Hao
10.1021/acs.chemmater.7b02204,indium acetate,0.15,tris(trimethylsilyl)phosphine,0.1,octadecene,10,trioctylphosphine,2.242095008,palmitic acid,0.45,None,0,None,0,None,0,None,0,11,305,180,None,499,None,6/26/2021,Hao
10.1021/acs.chemmater.8b02590,indium acetate,4,tris(trimethylsilyl)phosphine,2,octadecene,17,None,0,myristic acid,14.5,None,0,None,0,None,0,None,0,17,285,20,2.4,530,579,7/27/2021,Hao
10.1021/acs.jpcc.0c09601,indium acetate,4,tris(trimethylsilyl)phosphine,2,octadecene,10.14,None,0,oleic acid,14.5,None,0,None,0,None,0,None,0,15,305,20,3.1,555,595,7/6/2021,Hao
